"id","name"
1,"5/1"
2,"24/1"
3,"26"
4,"28"
5,"23"
6,"35"
7,"35/1"
8,"37"
9,"37/1"
10,"47/1"
11,"49/1"
12,"51"
13,"3"
14,"5/2"
15,"6"
16,"7"
17,"9/1"
18,"1"
19,"1А"
20,"1В"
21,"2/1"
22,"2/2"
23,"2/3"
24,"4"
25,"14"
26,"18"
27,"53"
28,"53/1"
29,"53/2"
30,"59/1"
31,"65/1"
32,"5"
33,"7/1"
34,"7/2"
35,"7/3"
36,"16"
37,"16/1"
38,"21"
39,"6/1"
40,"8"
41,"6/3"
42,"8/1"
43,"9"
44,"10/1"
45,"15/1"
46,"21/1"
47,"21/3"
48,"25"
49,"26/1"
50,"43/3"
51,"45"
52,"45/2"
53,"49/2"
54,"52/1"
55,"57/1"
56,"57/2"
57,"60"
58,"61/1"
59,"62"
60,"62/1"
61,"63"
62,"63/5"
63,"65/2"
64,"65/4"
65,"65/5"
66,"66/2"
67,"68"
68,"68/1"
69,"71/2"
70,"71/3"
71,"82"
72,"83/1"
73,"84 кор.3"
74,"84/1"
75,"84/2"
76,"86/2"
77,"87/4"
78,"88/1"
79,"89/1"
80,"92/1"
81,"93"
82,"93/1"
83,"95/1"
84,"97/1"
85,"103"
86,"103/1"
87,"105/1"
88,"105/5"
89,"106"
90,"106/1"
91,"106/3"
92,"107/1"
93,"109"
94,"110"
95,"111"
96,"111/2"
97,"112/1"
98,"112/3"
99,"113"
100,"117"
101,"117/2"
102,"121"
103,"121/1А"
104,"124/3"
105,"126/2"
106,"127/1А"
107,"128"
108,"128/1"
109,"130"
110,"130/2"
111,"130/4"
112,"131/1"
113,"132/2"
114,"134/1"
115,"135"
116,"136/1"
117,"142"
118,"142/1"
119,"142/3"
120,"142/4"
121,"144"
122,"144/1"
123,"160/1"
124,"166"
125,"170"
126,"6/2"
127,"12"
128,"14/1"
129,"14/2"
130,"12А"
131,"2"
132,"38"
133,"40"
134,"42"
135,"43"
136,"43/2"
137,"44"
138,"48"
139,"6/8"
140,"10"
141,"13"
142,"19"
143,"11/1А"
144,"11/1Б"
145,"31"
146,"72/1"
147,"86/1"
148,"88"
149,"90"
150,"90/1"
151,"64/1"
152,"67"
153,"71"
154,"79"
155,"81"
156,"84"
157,"91/1"
158,"15"
159,"17"
160,"22"
161,"29"
162,"30"
163,"30/1"
164,"30/2"
165,"33"
166,"58"
167,"58/1"
168,"30А"
169,"300"
170,"300/1"
171,"302"
172,"304/2"
173,"316"
174,"316/1"
175,"322"
176,"322/1"
177,"322/2"
178,"322А"
179,"52"
180,"50/1"
181,"60/1"
182,"60/2"
183,"60/3"
184,"68/2"
185,"68/6"
186,"70"
187,"70/1"
188,"70/2"
189,"4/1"
190,"41/4"
191,"12/1"
192,"12/3"
193,"19/1"
194,"20"
195,"23/1"
196,"24"
197,"24/2"
198,"24/3"
199,"24/4"
200,"25/1"
201,"27"
202,"32"
203,"39"
204,"10/2"
205,"16/2"
206,"6/4"
207,"10А"
208,"21/2"
209,"27/1"
210,"54"
211,"92"
212,"112"
213,"123"
214,"125"
215,"127"
216,"129"
217,"131"
218,"132"
219,"133"
220,"134"
221,"17/1"
222,"28/1"
223,"34"
224,"11/1"
225,"13/1"
226,"20/1"
227,"22/2"
228,"27А"
229,"66"
230,"79А"
231,"81/1"
232,"27/2"
233,"105"
234,"54/2"
235,"3/2"
236,"3/3"
237,"7/4"
238,"7/5"
239,"11"
240,"55А"
241,"56"
242,"67/1"
243,"67/2"
244,"67/3"
245,"67/4"
246,"67/5"
247,"83"
248,"99"
249,"137"
250,"40А"
251,"37/4"
252,"1/3"
253,"43 кор.А"
254,"62/2"
255,"62/3"
256,"65"
257,"73"
258,"75"
259,"77"
260,"91"
261,"101"
262,"115"
263,"119/1"
264,"129/2"
265,"141/1"
266,"149"
267,"153/1"
268,"155"
269,"159"
270,"161"
271,"165"
272,"167"
273,"179"
274,"179/3"
275,"187/3"
276,"191"
277,"193"
278,"41"
279,"57А"
280,"75А"
281,"80"
282,"82А"
283,"40/1"
284,"46"
285,"47"
286,"89"
287,"33Б"
288,"36"
289,"50"
290,"61"
291,"64"
292,"76"
293,"78"
294,"86"
295,"94"
296,"97"
297,"104"
298,"113В"
299,"140"
300,"156А"
301,"158А"
302,"162"
303,"164"
304,"170/1"
305,"170/2"
306,"180"
307,"197"
308,"202"
309,"205/2"
310,"71/1"
311,"27/3"
312,"96/2"
313,"100"
314,"100/2"
315,"137/2"
316,"143/1"
317,"145"
318,"163/3"
319,"167/2"
320,"13/3"
321,"14/4"
322,"14/5"
323,"14/6"
324,"22/1"
325,"36/1"
326,"38/3"
327,"41Б"
328,"9/11"
329,"72"
330,"87"
331,"34/1"
332,"4/2"
333,"4/3"
334,"4/4"
335,"5/3"
336,"5/4"
337,"9А"
338,"8/2"
339,"12/2"
340,"25/2"
341,"3А"
342,"2/7"
343,"11А"
344,"11Б"
345,"11В"
346,"11Г"
347,"11Д"
348,"17А"
349,"17Б"
350,"17В"
351,"17Г"
352,"17Д"
353,"17/2"
354,"9/3"
355,"9/4"
356,"108"
357,"112/2"
358,"120"
