"id","name"
1,Авторский надзор по ремонту крыши
2,Авторский надзор по ремонту фасада
3,Внутридомовые инженерные системы горячего водоснабжения
4,Внутридомовые инженерные системы холодного водоснабжения
5,Внутридомовые системы мусороудаления
6,Государственная экспертиза проектной документации
7,Замена обогревающих элементов системы теплоснабжения (при отсутствии отключающих устройств на ответвлениях от стояков)
8,Иные несущие конструкции
9,Межэтажные и межчердачные перекрытия
10,Несущие наружные стены
11,Оборудование и средства пожаротушения
12,Ограждающие конструкции
13,Оценка технического состояния крыши
14,Оценка технического состояния лифтов
15,Оценка технического состояния по замене обогревающих элементов системы теплоснабжения
16,Оценка технического состояния по переустройству крыши
17,Оценка технического состояния по установке (взамен существующих) индивидуальных тепловых пунктов
18,"Оценка технического состояния по установке (общедомовых) узлов управления, учета и регулирования потребления тепловой энергии"
19,Оценка технического состояния по установке коллективных (общедомовых) приборов учета газа
20,Оценка технического состояния по установке коллективных (общедомовых) приборов учета горячей воды
21,Оценка технического состояния по установке коллективных (общедомовых) приборов учета тепловой энергии
22,Оценка технического состояния по установке коллективных (общедомовых) приборов учета холодной воды
23,Оценка технического состояния по утеплению фасада
24,Оценка технического состояния подвальных помещений
25,Оценка технического состояния помещений общей долевой собственности
26,Оценка технического состояния помещений общей долевой собственности (в т.ч. установка пандусов)
27,Оценка технического состояния системы водоотведения
28,Оценка технического состояния системы водоснабжения
29,Оценка технического состояния системы газоснабжения
30,Оценка технического состояния системы теплоснабжения
31,Оценка технического состояния системы электроснабжения
32,Оценка технического состояния фасада
33,Оценка технического состояния фундамента
34,Оценка технического состояния чердачного перекрытия
35,Перекрытия
36,Переустройство крыши
37,Разработка ПСД
38,Разработка ПСД по замене обогревающих элементов системы теплоснабжения
39,Разработка ПСД по переустройству крыши
40,Разработка ПСД по ремонту крыши
41,Разработка ПСД по ремонту лифтов
42,Разработка ПСД по ремонту подвальных помещений
43,Разработка ПСД по ремонту системы водоотведения
44,Разработка ПСД по ремонту системы водоснабжения
45,Разработка ПСД по ремонту системы газоснабжения
46,Разработка ПСД по ремонту системы теплоснабжения
47,Разработка ПСД по ремонту системы электроснабжения
48,Разработка ПСД по ремонту фасада
49,Разработка ПСД по ремонту фундамента
50,Разработка ПСД по ремонту  помещений общей долевой собственности (в т.ч. установка пандусов)
51,Разработка ПСД по ремонту помещений общей долевой собственности
52,Разработка ПСД по установке (взамен существующих) индивидуальных тепловых пунктов
53,"Разработка ПСД по установке (общедомовых) узлов управления, учета и регулирования потребления тепловой энергии"
54,Разработка ПСД по установке коллективных (общедомовых) приборов учета потребления газа
55,Разработка ПСД по установке коллективных (общедомовых) приборов учета потребления горячей воды
56,Разработка ПСД по установке коллективных (общедомовых) приборов учета потребления тепловой энергии
57,Разработка ПСД по установке коллективных (общедомовых) приборов учета потребления холодной воды
58,Разработка ПСД по утеплению фасада
59,Разработка ПСД по утеплению чердачного перекрытия
60,"Ремонт, замена, модернизация лифтов, ремонт лифтовых шахт, машинных и блочных помещений"
61,Ремонт крыши
62,Ремонт подвальных помещений
63,Ремонт помещений общей долевой собственности
64,Ремонт помещений общей долевой собственности (в т.ч. установка пандусов)
65,Ремонт систем водоснабжения и водоотведения
66,Ремонт системы водоотведения
67,Ремонт системы водоснабжения
68,Ремонт системы газоснабжения
69,Ремонт системы теплоснабжения
70,Ремонт системы электроснабжения
71,Ремонт фасада
72,Ремонт фундамента
73,"Системы вентиляции, дымоудаления и кондиционирования"
74,Строительный контроль
75,Строительный контроль по переустройству крыши
76,"Строительный контроль по ремонту, замене, модернизации лифтов, ремонт лифтовых шахт, машинных и блочных помещений"
77,Строительный контроль по ремонту крыши
78,Строительный контроль по ремонту подвальных помещений
79,Строительный контроль по ремонту системы водоотведения
80,Строительный контроль по ремонту системы водоснабжения
81,Строительный контроль по ремонту системы теплоснабжения
82,Строительный контроль по ремонту системы электроснабжения
83,Строительный контроль по ремонту фасада
84,Строительный контроль по ремонту фундамента
85,"Строительный контроль по установке (общедомовых) узлов управления, учета и регулирования потребления тепловой энергии"
86,Строительный контроль по утеплению фасада
87,Установка (взамен существующих) индивидуальных тепловых пунктов
88,"Установка (общедомовых) узлов управления, учета и регулирования потребления тепловой энергии"
89,Установка коллективных (общедомовых) приборов учета потребления газа
90,Установка коллективных (общедомовых) приборов учета потребления горячей воды
91,Установка коллективных (общедомовых) приборов учета потребления тепловой энергии
92,Установка коллективных (общедомовых) приборов учета потребления холодной воды
93,Утепление фасада
94,Утепление чердачного перекрытия
