"id","name"
1,а/я
2,аал
3,автодорога
4,ал.
5,арбан
6,аул
7,б-г
8,б-р
9,балка
10,вал
11,взд.
12,вн.р-н
13,волость
14,высел
15,г.
16,г.п.
17,городок
18,гп
19,гск
20,д
21,днп
22,днп
23,дор.
24,дп
25,ж/д бл-ст
26,ж/д в-ка
27,ж/д к-т
28,ж/д о.п.
29,ж/д п.п.
30,ж/д пл-ка
31,ж/д_будка
32,ж/д_казарм
33,ж/д_оп
34,ж/д_платф
35,ж/д_пост
36,ж/д_рзд
37,ж/д_ст
38,жилзона
39,жилрайон
40,жт
41,заимка
42,ззд.
43,зим.
44,зона
45,к-цо
46,казарма
47,кв-л
48,киш.
49,км
50,кордон
51,коса
52,кп
53,лн.
54,лпх
55,м
56,массив
57,мгстр.
58,местность
59,мкр
60,мост
61,мр.
62,н/п
63,наб.
64,нп
65,обл
66,остров
67,п
68,п. ж/д ст.
69,п. ст.
70,п/о
71,п/р
72,п/ст
73,парк
74,пгт
75,пер-д
76,пер.
77,пл-ка
78,пл.
79,платф.
80,погост
81,порт
82,пос.рзд
83,починок
84,пр-д
85,пр-к
86,пр-ка
87,пр-кт
88,пр-лок
89,промзона
90,промзона
91,проул.
92,р-н
93,рзд
94,рп
95,с
96,с-к
97,с/а
98,с/мо
99,с/мо
100,с/о
101,с/п
102,с/с
103,сад
104,сквер
105,сл
106,снт
107,сп
108,ст
109,ст-ца
110,стр.
111,тер
112,тер. гск
113,тер. дно
114,тер. днп
115,тер. днт
116,тер. дпк
117,тер. оно
118,тер. онп
119,тер. онт
120,тер. опк
121,тер. пк
122,тер. сно
123,тер. снп
124,тер. снт
125,тер. спк
126,тер. тсн
127,тер.сосн
128,тер.ф.х.
129,тракт
130,туп.
131,у
132,ул.
133,ус.
134,ф/х
135,х
136,ш.
137,ю.
