"id","name"
1,"г. Уфа, б-р Давлеткильдеева, д. 5/1"
2,"г. Уфа, б-р Дуванский, д. 24/1"
3,"г. Уфа, б-р Дуванский, д. 26"
4,"г. Уфа, б-р Дуванский, д. 28"
5,"г. Уфа, б-р Ибрагимова, д. 23"
6,"г. Уфа, б-р Ибрагимова, д. 35"
7,"г. Уфа, б-р Ибрагимова, д. 35/1"
8,"г. Уфа, б-р Ибрагимова, д. 37"
9,"г. Уфа, б-р Ибрагимова, д. 37/1"
10,"г. Уфа, б-р Ибрагимова, д. 47/1"
11,"г. Уфа, б-р Ибрагимова, д. 49/1"
12,"г. Уфа, б-р Ибрагимова, д. 51"
13,"г. Уфа, б-р Молодежный, д. 3"
14,"г. Уфа, б-р Молодежный, д. 5/2"
15,"г. Уфа, б-р Молодежный, д. 6"
16,"г. Уфа, б-р Молодежный, д. 7"
17,"г. Уфа, б-р Плеханова, д. 3"
18,"г. Уфа, б-р Плеханова, д. 7"
19,"г. Уфа, б-р Плеханова, д. 9/1"
20,"г. Уфа, б-р Славы, д. 1"
21,"г. Уфа, б-р Славы, д. 1А"
22,"г. Уфа, б-р Славы, д. 1В"
23,"г. Уфа, б-р Славы, д. 2/1"
24,"г. Уфа, б-р Славы, д. 2/2"
25,"г. Уфа, б-р Славы, д. 2/3"
26,"г. Уфа, б-р Славы, д. 3"
27,"г. Уфа, б-р Славы, д. 4"
28,"г. Уфа, б-р Славы, д. 14"
29,"г. Уфа, б-р Славы, д. 18"
30,"г. Уфа, б-р Тухвата Янаби, д. 53"
31,"г. Уфа, б-р Тухвата Янаби, д. 53/1"
32,"г. Уфа, б-р Тухвата Янаби, д. 53/2"
33,"г. Уфа, б-р Тухвата Янаби, д. 59/1"
34,"г. Уфа, б-р Тухвата Янаби, д. 65/1"
35,"г. Уфа, б-р Тюлькина, д. 3"
36,"г. Уфа, б-р Тюлькина, д. 5"
37,"г. Уфа, б-р Тюлькина, д. 5/1"
38,"г. Уфа, б-р Тюлькина, д. 7"
39,"г. Уфа, б-р Тюлькина, д. 7/1"
40,"г. Уфа, б-р Тюлькина, д. 7/2"
41,"г. Уфа, б-р Тюлькина, д. 7/3"
42,"г. Уфа, б-р Хадии Давлетшиной, д. 16"
43,"г. Уфа, б-р Хадии Давлетшиной, д. 16/1"
44,"г. Уфа, б-р Хадии Давлетшиной, д. 21"
45,"г. Уфа, б-р Хадии Давлетшиной, д. 24/1"
46,"г. Уфа, пер Дачный, д. 6"
47,"г. Уфа, пер Запорожский, д. 7"
48,"г. Уфа, пер Кулибина, д. 4"
49,"г. Уфа, пер Пархоменко, д. 6/1"
50,"г. Уфа, пер Пархоменко, д. 8"
51,"г. Уфа, пер Шкаповский, д. 1"
52,"г. Уфа, пр-кт Октября, д. 3"
53,"г. Уфа, пр-кт Октября, д. 5"
54,"г. Уфа, пр-кт Октября, д. 5/1"
55,"г. Уфа, пр-кт Октября, д. 6/3"
56,"г. Уфа, пр-кт Октября, д. 7"
57,"г. Уфа, пр-кт Октября, д. 8/1"
58,"г. Уфа, пр-кт Октября, д. 9"
59,"г. Уфа, пр-кт Октября, д. 10/1"
