"id","name"
1,а/я
2,аал
3,аллея
4,арбан
5,аул
6,б-р
7,балка
8,берег
9,бугор
10,бухта
11,вал
12,взв.
13,влд.
14,въезд
15,высел
16,г-ж
17,горка
18,городок
19,гск
20,гск
21,гск
22,д
23,двлд.
24,днп
25,днп
26,днп
27,дом
28,дор
29,ж/д_будка
30,ж/д_казарм
31,ж/д_оп
32,ж/д_платф
33,ж/д_пост
34,ж/д_рзд
35,ж/д_ст
36,ж/р
37,жт
38,з/у
39,заезд
40,зд.
41,зона
42,к.
43,казарма
44,канал
45,кв-л
46,кв.
47,км
48,кольцо
49,ком.
50,коса
51,кот.
52,линия
53,лпх
54,м
55,маяк
56,мгстр.
57,местность
58,месторожд.
59,мкр
60,мост
61,мыс
62,н/п
63,н/п
64,наб
65,нп
66,онс
67,остров
68,офис
69,п
70,п-б
71,п/о
72,п/р
73,п/ст
74,пав.
75,парк
76,пер
77,переезд
78,пл
79,пл-ка
80,платф
81,подв.
82,полустанок
83,помещ.
84,порт
85,починок
86,пр-кт
87,причал
88,проезд
89,промзона
90,промзона
91,просек
92,просека
93,проселок
94,проток
95,протока
96,проулок
97,р-н
98,раб.уч.
99,рзд
100,ряд
101,ряды
102,с
103,сад
104,сзд.
105,сквер
106,скл.
107,сл
108,снт
109,снт
110,соор.
111,спуск
112,ст
113,стр
114,тер
115,тер. гск
116,тер. дно
117,тер. днп
118,тер. днт
119,тер. дпк
120,тер. оно
121,тер. онп
122,тер. онт
123,тер. опк
124,тер. пк
125,тер. сно
126,тер. снп
127,тер. снт
128,тер. спк
129,тер. тсж
130,тер. тсн
131,тер.сосн
132,тер.ф.х.
133,тоннель
134,торг. зал
135,тракт
136,туп
137,ул
138,ус.
139,уч-к
140,ф/х
141,ф/х
142,ферма
143,х
144,цех
145,ш
146,эстакада
147,ю.
